iter	Passed	Remaining
600	4019	6005
601	4026	5999
602	4032	5991
603	4039	5985
604	4045	5977
605	4053	5973
606	4061	5968
607	4070	5964
608	4076	5956
609	4083	5951
610	4089	5943
611	4095	5935
612	4103	5930
613	4108	5921
614	4114	5913
615	4122	5908
616	4127	5900
617	4136	5896
618	4142	5888
619	4149	5882
620	4161	5883
621	4169	5879
622	4175	5871
623	4184	5868
624	4190	5860
625	4196	5851
626	4205	5849
627	4211	5840
628	4218	5835
629	4224	5827
630	4233	5823
631	4240	5816
632	4245	5808
633	4253	5802
634	4258	5794
635	4267	5790
636	4274	5784
637	4282	5778
638	4287	5770
639	4293	5762
640	4301	5758
641	4307	5750
642	4315	5745
643	4321	5737
644	4327	5730
645	4334	5723
646	4340	5715
647	4349	5712
648	4355	5704
649	4362	5698
650	4369	5691
651	4374	5683
652	4383	5679
653	4389	5671
654	4395	5664
655	4401	5656
656	4407	5648
657	4415	5643
658	4420	5635
659	4427	5628
660	4434	5621
661	4439	5613
662	4447	5607
663	4453	5599
664	4460	5594
665	4466	5586
666	4472	5579
667	4480	5573
668	4486	5565
669	4493	5559
670	4499	5552
671	4505	5544
672	4513	5539
673	4519	5531
674	4527	5527
675	4533	5519
676	4540	5512
677	4547	5506
678	4553	5499
679	4561	5493
680	4567	5485
681	4572	5477
682	4581	5473
683	4586	5465
684	4595	5460
685	4601	5453
686	4608	5447
687	4614	5439
688	4620	5431
689	4628	5426
690	4634	5419
691	4641	5413
692	4648	5406
693	4654	5398
694	4662	5393
695	4668	5385
696	4676	5380
697	4682	5373
698	4687	5365
699	4695	5359
700	4701	5351
701	4709	5347
702	4716	5340
703	4722	5332
704	4729	5326
705	4734	5318
706	4742	5313
707	4748	5305
708	4754	5297
709	4762	5292
710	4768	5284
711	4776	5279
712	4782	5271
713	4788	5264
714	4795	5258
715	4800	5249
716	4809	5245
717	4815	5237
718	4824	5234
719	4830	5226
720	4838	5221
721	4844	5214
722	4850	5206
723	4859	5201
724	4865	5194
725	4873	5188
726	4878	5180
727	4884	5172
728	4892	5167
729	4897	5159
730	4907	5155
731	4912	5147
732	4920	5142
733	4926	5135
734	4933	5127
735	4940	5121
736	4945	5113
737	4952	5106
738	4959	5100
739	4964	5092
740	4972	5087
741	4978	5078
742	4984	5072
743	4991	5064
744	4996	5057
745	5005	5052
746	5011	5045
747	5018	5038
748	5024	5031
749	5029	5022
750	5038	5017
751	5043	5010
752	5050	5003
753	5057	4997
754	5063	4990
755	5071	4984
756	5077	4976
757	5083	4969
758	5090	4963
759	5096	4955
760	5104	4949
761	5109	4941
762	5115	4934
763	5121	4927
764	5127	4919
765	5135	4913
766	5141	4906
767	5146	4898
768	5154	4892
769	5159	4884
770	5166	4878
771	5173	4871
772	5178	4863
773	5187	4858
774	5193	4851
775	5201	4846
776	5207	4838
777	5214	4832
778	5221	4825
779	5226	4818
780	5235	4813
781	5240	4805
782	5248	4799
783	5254	4792
784	5260	4784
785	5267	4778
786	5273	4771
787	5280	4764
788	5287	4758
789	5293	4750
790	5301	4745
791	5307	4737
792	5316	4733
793	5322	4725
794	5329	4719
795	5336	4712
796	5341	4705
797	5350	4700
798	5356	4692
799	5364	4687
800	5370	4679
801	5376	4672
802	5385	4667
803	5391	4660
804	5399	4654
805	5405	4647
806	5412	4641
807	5418	4633
808	5424	4626
809	5432	4620
810	5437	4613
811	5446	4608
812	5453	4601
813	5458	4593
814	5466	4587
815	5472	4580
816	5480	4575
817	5486	4567
818	5492	4560
819	5499	4554
820	5505	4546
821	5513	4540
822	5519	4533
823	5525	4526
824	5532	4519
825	5537	4512
826	5545	4506
827	5551	4498
828	5557	4491
829	5564	4485
830	5570	4477
831	5577	4471
832	5583	4464
833	5589	4456
834	5597	4451
835	5603	4443
836	5611	4438
837	5617	4430
838	5624	4424
839	5630	4417
840	5636	4410
841	5645	4404
842	5651	4397
843	5657	4390
844	5664	4384
845	5670	4376
846	5677	4370
847	5683	4363
848	5689	4355
849	5696	4349
850	5702	4341
851	5710	4336
852	5715	4328
853	5721	4321
854	5729	4315
855	5734	4307
856	5743	4302
857	5750	4295
858	5758	4290
859	5764	4283
860	5772	4277
861	5778	4270
862	5784	4262
863	5792	4256
864	5797	4249
865	5804	4242
866	5811	4235
867	5816	4228
868	5824	4222
869	5830	4215
870	5837	4208
871	5844	4202
872	5850	4194
873	5859	4189
874	5865	4182
875	5873	4177
876	5879	4170
877	5887	4164
878	5893	4157
879	5898	4149
880	5906	4143
881	5912	4135
882	5918	4129
883	5925	4122
884	5930	4114
885	5938	4108
886	5944	4101
887	5952	4095
888	5958	4088
889	5964	4081
890	5972	4075
891	5978	4068
892	5985	4062
893	5992	4055
894	6000	4049
895	6006	4042
896	6012	4034
897	6019	4028
898	6025	4021
899	6031	4014
900	6038	4007
901	6043	3999
902	6051	3993
903	6057	3986
904	6062	3979
905	6070	3973
906	6075	3965
907	6083	3959
908	6089	3952
909	6094	3944
910	6103	3939
911	6110	3932
912	6118	3927
913	6123	3919
914	6129	3912
915	6136	3905
916	6142	3898
917	6149	3892
918	6155	3884
919	6160	3877
920	6168	3871
921	6174	3864
922	6181	3857
923	6187	3850
924	6193	3843
925	6201	3837
926	6206	3829
927	6215	3824
928	6221	3817
929	6226	3809
930	6234	3803
931	6240	3796
932	6250	3791
933	6256	3784
934	6262	3777
935	6269	3770
936	6274	3763
937	6283	3757
938	6289	3750
939	6297	3745
940	6303	3737
941	6308	3730
942	6316	3724
943	6321	3716
944	6328	3710
945	6335	3703
946	6340	3696
947	6349	3690
948	6355	3683
949	6361	3676
950	6368	3669
951	6373	3662
952	6381	3656
953	6387	3649
954	6394	3642
955	6401	3635
956	6406	3628
957	6414	3622
958	6420	3615
959	6429	3609
960	6435	3602
961	6440	3595
962	6449	3589
963	6454	3582
964	6463	3576
965	6469	3569
966	6476	3563
967	6483	3556
968	6489	3549
969	6498	3544
970	6504	3537
971	6513	3531
972	6518	3524
973	6525	3517
974	6532	3510
975	6538	3503
976	6546	3497
977	6551	3490
978	6558	3483
979	6564	3476
980	6570	3469
981	6578	3463
982	6584	3456
983	6590	3449
984	6597	3442
985	6603	3435
986	6611	3429
987	6616	3422
988	6623	3415
989	6629	3408
990	6635	3401
991	6644	3395
992	6649	3388
993	6657	3382
994	6663	3375
995	6669	3368
996	6679	3363
997	6686	3356
998	6694	3350
999	6700	3343
1000	6708	3337
1001	6713	3330
1002	6719	3322
1003	6727	3316
1004	6733	3309
1005	6742	3304
